deviceGroupName,site_name,lat,lon
M11310,CENTRO ESCOLAR CANTON LAS TUNAS,13.925269,-89.199189
M11312,CENTRO ESCOLAR PROFESORA MARIA TERESA GUZMAN,13.959344,-89.191871
M11313,CENTRO ESCOLAR CANTÓN PIÑALITOS,13.968146,-89.185301
M86383,"CENTRO ESCOLAR CASERÍO LA SABANA, CANTÓN PISHISHAPA",13.972006,-89.175414
M10065,INSTITUTO NACIONAL COLONIA VALLE DEL SOL,13.821251,-89.190191
M11318,COMPLEJO EDUCATIVO COLONIA LOS NARANJOS,13.792482,-89.172348
M11324,COMPLEJO EDUCATIVO PROFESORA ANGELA DE JESUS HERNANDEZ DE ROMERO,13.808076,-89.18054
M11329,INSTITUTO NACIONAL DE LA COLONIA CIUDAD OBRERA,13.807107,-89.180962
M11332,CENTRO ESCOLAR CANTON JOYA GRANDE,13.833891,-89.184068
M11333,CENTRO ESCOLAR CORONEL FRANCISCO LINARES,13.805628,-89.17285
M11334,CENTRO ESCOLAR SAN MARTIN DE PORRES,13.82188,-89.18465
M11345,CENTRO ESCOLAR BENJAMIN BLOOM,13.798166,-89.178142
M11350,CENTRO ESCOLAR  CANTON GUADALUPE,13.768414,-89.218975
M14815,CENTRO ESCOLAR VALLE VERDE,13.796191,-89.164154
M60284,"CENTRO ESCOLAR COMUNIDAD MARIA ANTONIETA, CANTÓN SAN NICOLAS",13.801949,-89.166064
M70009,CENTRO ESCOLAR CANTÓN TRES CEIBAS ARRIBA,13.827076,-89.192209
M86395,CENTRO ESCOLAR CANTÓN LAS DELICIAS,13.776494,-89.227359
M11356,CENTRO ESCOLAR  CANTON EL ZAPOTE,13.755728,-89.208813
M11358,COMPLEJO EDUCATIVO  EL RETIRO,13.754169,-89.191075
M13597,INSTITUTO NACIONAL  DE AYUTUXTEPEQUE,13.737618,-89.201742
M70010,CENTRO ESCOLAR CANTÓN  EL ZAPOTE ARRIBA,13.75684,-89.225825
M86333,"CENTRO ESCOLAR SECTOR UNIDO, CANTÓN SAN LUIS MARIONA",13.756634,-89.183004
M90051,CENTRO ESCOLAR MUNICIPAL DE MAJUCLA,13.785148,-89.17931
M11372,"COMPLEJO EDUCATIVO HACIENDA COLIMA, CANTÓN EL TULE",13.974486,-89.217741
M11374,CENTRO ESCOLAR  1º DE JULIO DE 1823,13.972565,-89.217797
M11376,CENTRO ESCOLAR CANTON POTRERO GRANDE,14.019275,-89.162795
M11377,COMPLEJO EDUCATIVO  CANTÓN  EL TULE,14.050979,-89.145113
M11378,COMPLEJO EDUCATIVO HERBERT DE SOLA,14.013779,-89.188534
M11379,CENTRO ESCOLAR  CANTON  SAN RAFAEL,14.043179,-89.190733
M70015,COMPLEJO EDUCATIVO CANTÓN SAN FRANCISCO DOS CERROS,14.026794,-89.273062
M70016,CENTRO ESCOLAR CANTÓN POTRERO GRANDE,14.041522,-89.157454
M70019,"CENTRO ESCOLAR  CASERÍO COMUNIDAD FE, CANTÓN SAN DIEGO",14.003461,-89.166216
M11380,COMPLEJO EDUCATIVO  DELFINA DE DIAZ,13.87622,-89.171619
M11382,CENTRO ESCOLAR  CANTON SANTA BARBARA,13.84644,-89.155231
M11383,"CENTRO ESCOLAR  CASERIO SAN CRISTOBAL, CANTON LOMAS DE RAMOS",13.940177,-89.188455
M11388,COMPLEJO EDUCATIVO  DOCTOR DAVID ESCOBAR GALINDO,13.872012,-89.176629
M70020,"CENTRO ESCOLAR  CASERÍO LOTIFICACIÓN LA ESPERANZA, CANTÓN CALLE NUEVA",13.858756,-89.173965
M86386,"CENTRO ESCOLAR CASERÍO EL ROSARIO, CANTÓN SAN JERONIMO",13.910544,-89.182795
M10068,CENTRO ESCOLAR VISTA AL LAGO,13.681393,-89.121981
M11392,COMPLEJO EDUCATIVO COMUNIDAD SAN BARTOLO DEL NORTE,13.716373,-89.106342
M11393,COMPLEJO EDUCATIVO  REPARTO VALLE NUEVO,13.681691,-89.134501
M11396,CENTRO ESCOLAR  CAMPAMENTO BANCO HIPOTECARIO,13.692615,-89.13158
M11399,COMPLEJO EDUCATIVO GENERAL JOSÉ MARÍA PERALTA LAGOS,13.700593,-89.082
M11405,CENTRO ESCOLAR  JARDINES DE SAN BARTOLO,13.70877,-89.11463
M11407,COMPLEJO EDUCATIVO COLONIA LAS CAÑAS,13.712675,-89.11293
M11410,CENTRO ESCOLAR FABIO CASTILLO,13.694236,-89.11002
M70025,CENTRO ESCOLAR  CANTÓN DOLORES APULO,13.700968,-89.079073
M70026,COMPLEJO EDUCATIVO SAN BARTOLOMÉ APÓSTOL,13.706353,-89.105446
M11416,CENTRO ESCOLAR  CESAR GUZMÁN,13.746712,-89.184464
M11430,CENTRO ESCOLAR ASOCIACION SALVADOREÑA DE SEÑORAS DE INGENIEROS CIVILES,13.743288,-89.211789
M11432,CENTRO ESCOLAR  COLONIA SAN MAURICIO,13.732592,-89.219874
M11434,CENTRO ESCOLAR BARRIO LAS DELICIAS,13.728625,-89.186201
M11449,CENTRO ESCOLAR  CANTON BARBA RUBIA,13.830273,-89.202342
M11450,INSTITUTO NACIONAL  JUAN PABLO II,13.808025,-89.228884
M11452,CENTRO ESCOLAR  GENERAL FRANCISCO MORAZAN,13.814559,-89.232129
M70031,"CENTRO ESCOLAR CASERÍO PUERTA DEL LLANO, CANTÓN CAMOTEPEQUE",13.854669,-89.226186
M70037,COMPLEJO EDUCATIVO CANTÓN SAN JERÓNIMO LOS PLANES,13.749213,-89.271593
M86391,"CENTRO ESCOLAR CASERÍO EL JABALI, CANTÓN GALERA QUEMADA",13.822646,-89.253629
M11464,CENTRO ESCOLAR CANTON LOS TRONCONES,13.559217,-89.163813
M11468,CENTRO ESCOLAR CANTON MIL CUMBRES,13.618163,-89.196903
M70043,"CENTRO ESCOLAR CASERÍO LAS MORENAS, CANTÓN AMAYON",13.506826,-89.184051
M70047,CENTRO ESCOLAR CANTÓN EL CEDRO,13.609464,-89.213559
M70049,CENTRO ESCOLAR CANTÓN LOMA Y MEDIA,13.587148,-89.21612
M70050,CENTRO ESCOLAR ELISA CARRILLO DE MENDOZA,13.589296,-89.198527
M70051,CENTRO ESCOLAR  CANTÓN LOS PAJALES,13.586833,-89.156825
M70054,"CENTRO ESCOLAR CANTÓN PANCHIMALQUITO,",13.571122,-89.14843
M70055,CENTRO ESCOLAR  CANTÓN QUEZALAPA,13.604213,-89.199061
M70056,COMPLEJO EDUCATIVO  CANTÓN SAN ISIDRO,13.573903,-89.173235
M70057,CENTRO ESCOLAR CANTÓN EL DIVISADERO,13.610664,-89.162416
M70058,CENTRO ESCOLAR CANTÓN LAS CRUCITAS,13.597569,-89.166891
M11477,COMPLEJO EDUCATIVO CANTÓN PALO GRANDE,13.545622,-89.21602
M86381,CENTRO ESCOLAR CANTÓN CERCO DE PIEDRA,13.48574,-89.206379
M11478,INSTITUTO NACIONAL DE SAN MARCOS,13.653802,-89.183415
M11481,CENTRO ESCOLAR CANTON GUADALUPE,13.657432,-89.171243
M11491,INSTITUTO NACIONAL  PROFESORA BERTHA FIDELIA CAÑAS,13.643517,-89.186346
M10650,CENTRO ESCOLAR RUTILIO GRANDE,13.735625,-89.067777
M11503,CENTRO ESCOLAR COLONIA SAN MARTIN DE PORRES,13.738325,-89.050261
M11505,INSTITUTO NACIONAL DE SAN MARTÍN,13.742397,-89.053104
M11506,COMPLEJO EDUCATIVO SAN MARTÍN,13.736671,-89.056619
M11511,CENTRO ESCOLAR CANTON EL ROSARIO,13.769821,-89.081241
M11514,CENTRO ESCOLAR  CANTON ANIMAS,13.785361,-89.07936
M11517,CENTRO ESCOLAR CANTÓN LAS DELICIAS,13.741258,-89.08257
M70061,"CENTRO ESCOLAR  CASERÍO EL MOJÓN, CANTÓN LA FLOR",13.746146,-89.044004
M86438,"CENTRO ESCOLAR COMUNIDAD AARON JOAQUÍN, CANTÓN LA PALMA",13.720039,-89.080469
M11533,INSTITUTO NACIONAL   ACCION CIVICA MILITAR,13.700803,-89.180622
M11540,INSTITUTO NACIONAL GENERAL FRANCISCO MENÉNDEZ,13.712013,-89.180732
M11541,INSTITUTO NACIONAL  GENERAL FRANCISCO MORAZÁN,13.70158,-89.203238
M11542,INSTITUTO NACIONAL DE COMERCIO,13.688239,-89.186748
M11543,INSTITUTO  NACIONAL TECNICO INDUSTRIAL,13.693896,-89.222341
M11546,INSTITUTO NACIONAL GENERAL MANUEL JOSÉ ARCE,13.686076,-89.19577
M11552,CENTRO ESCOLAR  DOCTOR JOSÉ ANTONIO RODRÍGUEZ PORTH,13.703247,-89.17659
M11572,CENTRO ESCOLAR COLONIA BRISAS DE CANDELARIA,13.663062,-89.220839
M11575,CENTRO ESCOLAR CANTON SAN CRISTOBAL,13.667933,-89.206449
M11581,CENTRO ESCOLAR PROFESOR CARLOS CRUZ AVALOS,13.703059,-89.206092
M11583,CENTRO ESCOLAR COMUNIDAD SERPAS,13.709603,-89.199118
M11585,CENTRO ESCOLAR EL PROGRESO,13.719437,-89.19933
M11591,CENTRO ESCOLAR CONFEDERACION SUIZA,13.655101,-89.197669
M11596,CENTRO ESCOLAR BENJAMIN SOL MILLET,13.67398,-89.22849
M11599,CENTRO ESCOLAR CASERIO LA PEDRERA COLONIA COSTA RICA,13.677431,-89.197238
M11628,CENTRO ESCOLAR DOCTOR DARIO GONZALEZ,13.68182,-89.205782
M11629,CENTRO ESCOLAR REPUBLICA DE EL SALVADOR,13.685604,-89.214857
M11630,CENTRO ESCOLAR FRANCISCO CAMPOS,13.696368,-89.184632
M11632,CENTRO ESCOLAR REPUBLICA DE NICARAGUA,13.713375,-89.212611
